track_name,artist_names,track_id,artist_id
La Perla,"ROSALÍA, Yahritza Y Su Esencia",4oVO4fGNRRvEn0CRuFO4qv,7ltDVBr6mKbRvohxheJ9h1
Don’t Say You Love Me,Jin,27xkOIER6uDLKALIelHylZ,5vV3bFXnN6D6N3Nj4xRvaV
Espresso,Sabrina Carpenter,2HRqTpkrJO5ggZyyK6NPWz,74KM79TiuVKeVCqs8QtB0B
I Wanna Be Yours,Arctic Monkeys,5XeFesFbtLpXzIVDNQP22n,7Ln80lUS6He07XvHI8qqHH
Starboy,"The Weeknd, Daft Punk",7MXVkk9YMctZqd1Srtv4MB,1Xyo4u8uXC1ZmMpatF05PJ
7-3,"Peso Pluma, Tito Double P",4lzo6zPM2paqyP8oBp3DOs,12GqGscKJx3aE4t07u7eVZ
When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,0du5cEVh5yTK9QJze8zA0C
Manchild,Sabrina Carpenter,2BwO5K8Q7EPAJSGze3AAh9,74KM79TiuVKeVCqs8QtB0B
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",6iOndD4OFo7GkaDypWQIou,5uwa6tAMMfNbBFIHiI6NV4
Sparks,Coldplay,7D0RhFcb3CrfPuTJ0obrod,4gzpq5DPGxSnKTe4SA8HAU
That’s So True,Gracie Abrams,7ne4VBA60CxGM75vw0EYad,4tuJ0bMpJh08umKkEXKUI5
What You Saying,Lil Uzi Vert,7cjoZVmWe2xsGR4wcXiV2v,4O15NlyKLIASxsJ0PrXPfz
Lose Control,Teddy Swims,17phhZDn6oGtzMe56NuWvj,33qOK5uJ8AR2xuQQAhHump
Phantom,"EsDeeKid, Rico Ace",57Z6TJCTMACXxdrcwZ3Zvf,0EyhkwP3UnwGFBy6xwKjSy
Folded,Kehlani,0bxPRWprUVpQK0UFcddkrA,0cGUm45nv7Z6M6qdXYQGTX
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",0FIDCNYYjNvPVimz5icugS,1Xyo4u8uXC1ZmMpatF05PJ
Mr. Brightside,The Killers,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",2HRgqmZQC0MC7GeNuDIXHN,6HaGTQPmzraVmaVxvz6EUc
Dreams - 2004 Remaster,Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,08GQAI4eElDnROBrJRGE0X
It Will Rain,Bruno Mars,0M3HkE321xpCbCYqVKzr1q,0du5cEVh5yTK9QJze8zA0C
Pvta Luna,Neton Vega,33MeEaRCeIQMSRyFTr5ZJU,6pV5zH2LzjOUHaAvENdMMa
Who Knows,Daniel Caesar,6DH13QYXK7lKkYHSU88N48,20wkVLutqVOYrc0kxFs7rA
Internet Girl,KATSEYE,3THVfoVD5kdCxPviVaCPi7,3c0gDdb9lhnHGFtP4prQpn
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",3GCdLUSnKSMJhs4Tj6CV3s,2YZyLoL8N0Wb9xBt1NhZWg
No One Noticed,The Marías,3siwsiaEoU4Kuuc9WKMUy5,2sSGPbdZJkaSE2AbcGOACx
no tiene sentido,Beéle,1HEwEN64NjgTaHmo7LfkX8,7a0XAaPaK2aDSqa8p3QnC7
JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody",3jhyw60F61gc7nC4dblqtC,5wbf52LA6kcaboHSN6NEF1
Feel Good Inc.,"Gorillaz, De La Soul",0d28khcov6AiegSCpG5TuT,3AA28KZvwAUcZuOKwyblJQ
undressed,sombr,0TFTAtCYhp2tQ9KcJIZb55,4G9NDjRyZFDlJKMRL8hx3S
505,Arctic Monkeys,0BxE4FqsDD1Ot4YuBXwAPp,7Ln80lUS6He07XvHI8qqHH
LA VILLA,"Ryan Castro, Kapo",6YkGw5op7PeyP2gmMMMrfJ,7j6DKwmjbxvpQO8h914uEz
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,1Xyo4u8uXC1ZmMpatF05PJ
kota ini tak sama tanpamu,Nadhif Basalamah,13CwOTXUgBugeBByE9oIWb,6UgERnTHmjk3qXM9x5vzyO
NUEVAYoL,Bad Bunny,5TFD2bmFKGhoCRbX61nXY5,4q3ewBCX7sLwd24euuV69X
In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,6XyY86QOPPrYVGvF9ch6wz
Choosin' Texas,Ella Langley,65DbTqJKhbwqYbZ1Okr0rc,6BRxQ8cD3eqnrVj6WKDok8
EoO,Bad Bunny,6J5kc12BW5HuP3d7C3vvx8,4q3ewBCX7sLwd24euuV69X
Everybody Wants To Rule The World,Tears For Fears,4RvWPyQ5RL0ao9LPZeSouE,4bthk9UfsYUYdcFyqxmSUU
Ya Borracho,Herencia De Grandes,4NyUIohBa3CEMGcXURYSOh,0ocHleb3SllGNQQcDH35Xz
As It Was,Harry Styles,4Dvkj6JhhA12EX05fT7y2e,6KImCVD70vtIoJWnq6nGn3
Grenade,Bruno Mars,4lLtanYk6tkMvooU0tWzG8,0du5cEVh5yTK9QJze8zA0C
