chart_week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2026-01-15,24,spotify:track:44xDy4h27s4ENaC8fKnCoC,"El Bogueto, Yung Beef",Cuando No Era Cantante,Candela Music,18,18,13,17537104
2026-01-15,25,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,16,23,281,17483840
2026-01-15,26,spotify:track:3cZajhyr8LmtPfHZ9296tj,"Disco Lines, Tinashe",No Broke Boys,Nice Life/Atlantic,13,21,29,17295951
2026-01-15,27,spotify:track:4WFgvKVfEhb3IUAFGrutTR,Ravyn Lenae,Love Me Not,Atlantic Records,8,24,43,16980360
2026-01-15,28,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,2,22,15,16915253
2026-01-15,29,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,25,54,15932642
2026-01-15,30,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,4,26,54,15756150
2026-01-15,31,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,3,32,119,15715942
2026-01-15,32,spotify:track:136BeIIoBGrrU9fI1jbcDR,"Peso Pluma, Tito Double P",daño,Double P Records,32,42,3,15508018
2026-01-15,33,spotify:track:554qQSs9lpRVq6TlaaiIKT,EsDeeKid,4 Raws,Lizzy Records,33,53,7,15395242
2026-01-15,34,spotify:track:05od2qm2MTSKCHxy1GBp5W,sombr,12 to 12,Warner Records,14,30,25,15313948
2026-01-15,35,spotify:track:2pbSCYzxrG0wa6qcj8IyiE,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,El Bogueto,33,35,5,15280810
2026-01-15,36,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Radiohead,Creep,XL Recordings,27,37,111,15069027
2026-01-15,37,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,15,34,169,14950628
2026-01-15,38,spotify:track:4G7bbgD2DHORU4frrWoCXp,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",Posso Até Não Te Dar Flores,Bololo Records,11,43,13,14923064
2026-01-15,39,spotify:track:1PtQJZVZIdWIYdARpZRDFO,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,20,41,14842116
2026-01-15,40,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1,27,78,14830613
2026-01-15,41,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,9,39,87,14815496
2026-01-15,42,spotify:track:1uvyZBs4IZYRebHIB1747m,Prince,Purple Rain,Warner Records,36,36,2,14635338
2026-01-15,43,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Elektra (NEK),34,130,155,14363042
2026-01-15,44,spotify:track:1zi7xx7UVEFkmKfv06H8x0,"Drake, Wizkid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,12,50,261,14340883
2026-01-15,45,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,19,44,265,14254176
2026-01-15,46,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake, Justin Bieber",Let Me Love You,DJ Snake Def Jam,4,57,88,14254085
